DeviceID,DLmodel,TimeStamp,EpcohIdx,IterIdx,ExecutionTime,Energy,ExecutionTimePerData,EnergyPerData,CoreFreq,OtimalCoreFreq
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:14 AM,0,1,2.057403087615967,2.7238124349382187e-05,0.0321469232439994,4.255956929590968e-07,1440,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:15 AM,0,2,0.353299617767334,1.2809456699424318e-05,0.0055203065276145,2.0014776092850497e-07,1417,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:16 AM,0,3,0.324439525604248,1.0570958309041127e-05,0.0050693675875663,1.651712235787677e-07,1432,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:17 AM,0,4,0.3264863491058349,1.363781136340565e-05,0.0051013492047786,2.130908025532133e-07,1440,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:18 AM,0,5,0.331730842590332,1.2756437353955377e-05,0.0051832944154739,1.993193336555528e-07,1485,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:19 AM,0,6,0.3216776847839355,1.330410024325053e-05,0.0050262138247489,2.0787656630078962e-07,1500,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:20 AM,0,7,0.3350028991699219,1.3524634757969116e-05,0.00523442029953,2.1132241809326746e-07,1507,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:21 AM,0,8,0.3478262424468994,1.290910118818283e-05,0.0054347850382328,2.017047060653568e-07,1522,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:22 AM,0,9,0.3132340908050537,1.3495687155591118e-05,0.0048942826688289,2.108701118061112e-07,1447,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:23 AM,0,10,0.313568115234375,1.2219230554501212e-05,0.0048995018005371,1.9092547741408146e-07,1522,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:24 AM,0,11,0.3206400871276855,9.72012244992786e-06,0.00501000136137,1.5187691328012285e-07,1477,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:25 AM,0,12,0.3471777439117431,1.2400208034780288e-05,0.0054246522486209,1.93753250543442e-07,1462,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:26 AM,0,13,0.3441925048828125,1.1490696818961036e-05,0.0053780078887939,1.795421377962662e-07,1447,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:27 AM,0,14,0.3238427639007568,1.3287875414556929e-05,0.0050600431859493,2.07623053352452e-07,1500,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:28 AM,0,15,0.3306825160980224,1.4219819949070611e-05,0.0051669143140316,2.221846867042284e-07,1522,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:29 AM,0,16,0.3266904354095459,1.304236076010598e-05,0.0051045380532741,2.0378688687665605e-07,1522,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:29 AM,0,17,0.3202075958251953,1.3425152993864484e-05,0.0050032436847686,2.0976801552913254e-07,1477,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:30 AM,0,18,0.3314299583435058,1.3123559792836508e-05,0.0051785930991172,2.0505562176307042e-07,1500,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:31 AM,0,19,0.3240160942077636,1.373299483789338e-05,0.0050627514719963,2.1457804434208405e-07,1522,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:32 AM,0,20,0.3278923034667969,1.3231031052933797e-05,0.0051233172416687,2.0673486020209057e-07,1470,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:33 AM,0,21,0.3224220275878906,1.306334983110428e-05,0.0050378441810607,2.041148411110044e-07,1470,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:34 AM,0,22,0.3357839584350586,1.3508194148540496e-05,0.0052466243505477,2.1106553357094525e-07,1440,
Tesla V100-SXM2-32GB,VGGNet,2023-10-16 10:40:35 AM,0,23,0.3407471179962158,1.0972781202528213e-05,0.0053241737186908,1.714497062895033e-07,1447,
